is_dad_joke,dad_joke
1,Why does Superman get invited to dinners? Because he is a Supperhero.
1,My first time using an elevator was an uplifting experience. The second time let me down.
1,"I was so proud when I finished the puzzle in six months, when on the side it said three to four years."
1,What do you call a bee that lives in America? A USB.
1,"Wife: Honey I’m pregnant.

Me: Well…. what do we do now?

Wife: Well, I guess we should go to a baby doctor.

Me: Hm.. I think I’d be a lot more comfortable going to an adult doctor."
1,Ben & Jerry's really need to improve their operation. The only way to get there is down a rocky road.
1,There's not really any training for garbagemen. They just pick things up as they go.
1,What did the dog say to the two trees? Bark bark.
1,So a duck walks into a pharmacy and says “Give me some chap-stick… and put it on my bill”
1,Why was the big cat disqualified from the race? Because it was a cheetah.
1,"Can February march? No, but April may."
1,"Why do trees seem suspicious on sunny days? Dunno, they're just a bit shady."
1,“My Dog has no nose.” “How does he smell?” “Awful”
1,You know what they say about cliffhangers...
1,What did the Red light say to the Green light? Don't look at me I'm changing!
1,What lies at the bottom of the ocean and twitches? A nervous wreck.
1,This is my step ladder. I never knew my real ladder.
1,Why do bears have hairy coats? Fur protection.
1,"This furniture store keeps emailing me, all I wanted was one night stand!"
1,"I went to the zoo the other day, there was only one dog in it. It was a shitzu."
1,Why do bears have hairy coats? Fur protection.
1,I decided to sell my Hoover… well it was just collecting dust.
1,I was in an 80's band called the prevention. We were better than the cure.
1,What did the fish say when it swam into a wall? Damn!
1,"Remember, the best angle to approach a problem from is the ""try"" angle."
1,Where does Fonzie like to go for lunch? Chick-Fil-Eyyyyyyyy.
1,Why did the barber win the race? He took a short cut.
1,Did you hear about the cow who jumped over the barbed wire fence? It was udder destruction.
1,How did Darth Vader know what Luke was getting for Christmas? He felt his presents.
1,Did you hear about the scientist who was lab partners with a pot of boiling water? He had a very esteemed colleague.
1,What lies at the bottom of the ocean and twitches? A nervous wreck.
1,"What do you do when you see a space man?
Park your car, man."
1,Did you hear about the runner who was criticized? He just took it in stride
1,"""I'm sorry."" ""Hi sorry, I'm dad"""
1,Why did the A go to the bathroom and come out as an E? Because he had a vowel movement.
1,Why don’t skeletons ever go trick or treating? Because they have nobody to go with.
1,Slept like a log last night … woke up in the fireplace.
1,Velcro… What a rip-off.
1,What do you call a monkey in a mine field? A babooooom!
1,What did one nut say as he chased another nut?  I'm a cashew!
1,What do you get hanging from Apple trees? Sore arms.
1,What's the best thing about elevator jokes? They work on so many levels.
1,Why was ten scared of seven? Because seven ate nine.
1,"""Dad, I'm cold.""
""Go stand in the corner, I hear it's 90 degrees."""
1,Why did the house go to the doctor? It was having window panes.
1,My first time using an elevator was an uplifting experience. The second time let me down.
1,Why does a chicken coop only have two doors? Because if it had four doors it would be a chicken sedan.
1,Why do crabs never give to charity? Because they’re shellfish.
1,"Past, present, and future walked into a bar.... It was tense."
1,"When you have a bladder infection, urine trouble."
1,Why did the half blind man fall in the well? Because he couldn't see that well!
1,"I had a rough day, and then somebody went and ripped the front and back pages from my dictionary. It just goes from bad to worse."
1,"A Sandwich walks into a bar, the bartender says “Sorry, we don’t serve food here”"
1,"Shout out to my grandma, that's the only way she can hear."
1,How do you make a hankie dance? Put a little boogie in it.
1,Which side of the chicken has more feathers? The outside.
1,Camping is intense.
1,Where’s the bin? Dad: I haven’t been anywhere!
1,What happens to a frog's car when it breaks down? It gets toad.
1,Did you hear about the Mexican train killer? He had loco motives
1,"*Reversing the car* ""Ah, this takes me back"""
1,Where does Fonzie like to go for lunch? Chick-Fil-Eyyyyyyyy.
1,I needed a password eight characters long so I picked Snow White and the Seven Dwarfs.
1,I knew i shouldn’t have ate that seafood. Because now i’m feeling a little… Eel
1,Did you hear the one about the guy with the broken hearing aid? Neither did he.
1,My boss told me to attach two pieces of wood together... I totally nailed it!
1,They tried to make a diamond shaped like a duck. It quacked under the pressure.
1,People saying 'boo! to their friends has risen by 85% in the last year.... That's a frightening statistic.
1,"A woman is on trial for beating her husband to death with his guitar collection. Judge says, ‘First offender?’ She says, ‘No, first a Gibson! Then a Fender!’"
1,"I was at the library and asked if they have any books on ""paranoia"", the librarian replied, ""yes, they are right behind you"""
1,"I used to be addicted to soap, but I'm clean now."
1,Leather is great for sneaking around because it's made of hide.
1,"My friend said to me: ""What rhymes with orange"" I said: ""no it doesn't"""
1,"Sgt.: Commissar! Commissar! The troops are revolting! Commissar: Well, you’re pretty repulsive yourself."
1,What do you call a sheep with no legs? A cloud.
1,How many tickles does it take to tickle an octopus? Ten-tickles!
1,How much does a hipster weigh? An instagram.
1,This is my step ladder. I never knew my real ladder.
1,A book just fell on my head. I only have my shelf to blame.
1,Did you hear about the runner who was criticized? He just took it in stride
1,"I was at the library and asked if they have any books on ""paranoia"", the librarian replied, ""yes, they are right behind you"""
1,A red and a blue ship have just collided in the Caribbean. Apparently the survivors are marooned.
1,A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
1,"A Sandwich walks into a bar, the bartender says “Sorry, we don’t serve food here”"
1,How many South Americans does it take to change a lightbulb? A Brazilian
1,What do you call a cow with two legs? Lean beef.
1,Why was Santa's little helper feeling depressed? Because he has low elf esteem.
1,"Can you make me a sandwich? Poof, you're a sandwich."
1,I’m on a whiskey diet. I’ve lost three days already.
1,Which side of the chicken has more feathers? The outside.
1,Sore throats are a pain in the neck!
1,What biscuit does a short person like? Shortbread.
1,Atheism is a non-prophet organisation.
1,What do you call a cow with no legs? Ground beef.
1,How do the trees get on the internet? They log on.
1,Just watched a documentary about beavers… It was the best damn program I’ve ever seen.
1,Did you hear about the chameleon who couldn't change color? They had a reptile dysfunction.
1,What is the leading cause of dry skin? Towels
1,What do you call a fashionable lawn statue with an excellent sense of rhythmn? A metro-gnome
1,Did you hear that David lost his ID in prague? Now we just have to call him Dav.
1,Why was Santa's little helper feeling depressed? Because he has low elf esteem.
1,"A man walked in to a bar with some asphalt on his arm. He said “Two beers please, one for me and one for the road.”"
1,What did the ocean say to the beach? Thanks for all the sediment.
1,How do you organize a space party? You planet.
1,How do you organize a space party? You planet.
1,I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
1,Have you ever heard of a music group called Cellophane? They mostly wrap.
1,Do I enjoy making courthouse puns? Guilty
1,"What's the worst part about being a cross-eyed teacher?

They can't control their pupils."
1,Why did the scarecrow win an award? Because he was outstanding in his field.
1,Did you hear about the chameleon who couldn't change color? They had a reptile dysfunction.
1,I was fired from the keyboard factory yesterday.  I wasn't putting in enough shifts.
1,"""Hey, dad, did you get a haircut?"" ""No, I got them all cut."""
1,"Why can't you use ""Beef stew"" as a password? Because it's not stroganoff."
1,Where does Fonzie like to go for lunch? Chick-Fil-Eyyyyyyyy.
1,Whiteboards ... are remarkable.
1,Why was Santa's little helper feeling depressed? Because he has low elf esteem.
1,"Remember, the best angle to approach a problem from is the ""try"" angle."
1,Have you heard about corduroy pillows?  They're making headlines!
1,"Why do trees seem suspicious on sunny days? Dunno, they're just a bit shady."
1,Yesterday a clown held a door open for me. I thought it was a nice jester.
1,Two dyslexics walk into a bra.
1,Milk is also the fastest liquid on earth – its pasteurized before you even see it
1,They laughed when I said I wanted to be a comedian – they’re not laughing now.
1,How do you find Will Smith in the snow?  Look for fresh prints.
1,"If two vegans are having an argument, is it still considered beef?"
1,Why did the burglar hang his mugshot on the wall? To prove that he was framed!
1,What does a clock do when it's hungry? It goes back four seconds!
1,You know that cemetery up the road? People are dying to get in there.
1,"Want to hear my pizza joke? Never mind, it's too cheesy."
1,Why do mathematicians hate the U.S.? Because it's indivisible.
1,The rotation of earth really makes my day.
1,"I cut my finger chopping cheese, but I think that I may have grater problems."
1,A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
1,What do you get when you cross a snowman with a vampire? Frostbite.
1,Why do bears have hairy coats? Fur protection.
1,"If you walk into a forest and cut down a tree, but the tree doesn't understand why you cut it down, do you think it's stumped?"
1,What biscuit does a short person like? Shortbread.
1,Why did the girl smear peanut butter on the road? To go with the traffic jam.
1,What do you call a cow with two legs? Lean beef.
1,Did you hear about the bread factory burning down? They say the business is toast.
1,"Can I watch the TV? Dad: Yes, but don’t turn it on."
1,"Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base? Because there’s a Shortstop in between!"
1,How many optometrists does it take to change a light bulb? 1 or 2? 1... or 2?
1,Where does batman go to the bathroom? The batroom.
1,The rotation of earth really makes my day.
1,What did the ocean say to the beach? Thanks for all the sediment.
1,"I went to a book store and asked the saleswoman where the Self Help section was, she said if she told me it would defeat the purpose."
1,"I applied to be a doorman but didn't get the job due to lack of experience. That surprised me, I thought it was an entry level position."
1,What do you call cheese by itself? Provolone.
1,Why do choirs keep buckets handy? So they can carry their tune
1,What's blue and not very heavy?  Light blue.
1,"Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base? Because there’s a Shortstop in between!"
1,Why did the cowboy have a weiner dog? Somebody told him to get a long little doggy.
1,What do you do when a blonde throws a grenade at you? Pull the pin and throw it back.
1,What do you call a group of killer whales playing instruments? An Orca-stra.
1,"What is a centipedes's favorite Beatle song?  I want to hold your hand, hand, hand, hand..."
1,"This morning I was wondering where the sun was, but then it dawned on me."
1,People saying 'boo! to their friends has risen by 85% in the last year.... That's a frightening statistic.
1,What do you call an alligator in a vest? An in-vest-igator!
1,I don't trust stairs. They're always up to something.
1,"Do you want a brief explanation of what an acorn is? In a nutshell, it's an oak tree."
1,What did the Buffalo say to his little boy when he dropped him off at school? Bison.
1,What was a more important invention than the first telephone? The second one.
1,"When my wife told me to stop impersonating a flamingo, I had to put my foot down."
1,A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
1,How does a dyslexic poet write? Inverse.
1,"Can you make me a sandwich? Poof, you're a sandwich."
1,Have you ever heard of a music group called Cellophane? They mostly wrap.
1,Did you hear about the guy whose whole left side was cut off? He's all right now.
1,Did you hear about the guy who invented Lifesavers? They say he made a mint.
1,Ever wondered why bees hum? It's because they don't know the words.
1,"I was so proud when I finished the puzzle in six months, when on the side it said three to four years."
1,"I fear for the calendar, it’s days are numbered."
1,Atheism is a non-prophet organisation.
1,What is the tallest building in the world? The library – it’s got the most stories!
1,My first time using an elevator was an uplifting experience. The second time let me down.
1,What did the late tomato say to the early tomato? I’ll ketch up
1,What do I look like? A JOKE MACHINE!?
1,"What's the difference between a guitar and a fish? You can tune a guitar but you can't ""tuna"" fish!"
1,"I'm glad I know sign language, it's pretty handy."
1,"I just read a book about Stockholm syndrome. It was pretty bad at first, but by the end I liked it."
1,My dog used to chase people on a bike a lot. It got so bad I had to take his bike away.
1,"I gave all my dead batteries away today, free of charge."
1,Don't buy flowers at a monastery. Because only you can prevent florist friars.
1,Two peanuts were walking down the street. One was a salted.
1,Did you hear about the runner who was criticized? He just took it in stride
1,Why can't your nose be 12 inches long? Because then it'd be a foot!
1,Did you know you should always take an extra pair of pants golfing? Just in case you get a hole in one.
1,They tried to make a diamond shaped like a duck. It quacked under the pressure.
1,"I was at the library and asked if they have any books on ""paranoia"", the librarian replied, ""yes, they are right behind you"""
1,I'll tell you what often gets over looked... garden fences.
1,Do you know where you can get chicken broth in bulk? The stock market.
1,Why couldn't the kid see the pirate movie? Because it was rated arrr!
1,How does a French skeleton say hello? Bone-jour.
1,"I really want to buy one of those supermarket checkout dividers, but the cashier keeps putting it back."
1,Why do crabs never give to charity? Because they’re shellfish.
1,Without geometry life is pointless.
1,"Mahatma Gandhi, as you know, walked barefoot most of the time, which produced an impressive set of calluses on his feet. 
He also ate very little, which made him rather frail and with his odd diet, he suffered from bad breath. 
This made him a super calloused fragile mystic hexed by halitosis."
1,What do you call a girl between two posts? Annette.
1,Don't trust atoms. They make up everything.
1,"I'm glad I know sign language, it's pretty handy."
1,How come a man driving a train got struck by lightning? He was a good conductor.
1,Why do valley girls hang out in odd numbered groups? Because they can't even.
1,What's the worst thing about ancient history class? The teachers tend to Babylon.
1,A Skeleton walked into a bar he said I need a beer and a mop
1,What do you call a fake noodle? An impasta.
1,What do you call cheese by itself? Provolone.
1,Why do choirs keep buckets handy? So they can carry their tune
1,"What is red and smells like blue paint?
Red paint!"
1,"You can't run through a camp site. You can only ran, because it's past tents."
1,"How do you tell the difference between a frog and a horny toad? A frog says, ‘Ribbit, ribbit’ and a horny toad says, ‘Rub it, rub it.’"
1,What's the difference between a poorly dressed man on a tricycle and a well dressed man on a bicycle? Attire.
1,What do you get when you cross a chicken with a skunk? A fowl smell!
1,What do prisoners use to call each other? Cell phones.
1,Did you hear about the scientist who was lab partners with a pot of boiling water? He had a very esteemed colleague.
1,"What's the difference between a guitar and a fish? You can tune a guitar but you can't ""tuna"" fish!"
1,What time did the man go to the dentist? Tooth hurt-y.
1,Did you hear the one about the guy with the broken hearing aid? Neither did he.
1,Don't buy flowers at a monastery. Because only you can prevent florist friars.
1,You know that cemetery up the road? People are dying to get in there.
1,A termite walks into a bar and asks “Is the bar tender here?”
1,Why do bears have hairy coats? Fur protection.
1,Atheism is a non-prophet organisation.
1,"Our wedding was so beautiful, even the cake was in tiers."
1,"A Sandwich walks into a bar, the bartender says “Sorry, we don’t serve food here”"
1,"A panda walks into a bar and says to the bartender “I’ll have a Scotch and . . . . . . . . . . . . . . Coke thank you”. 

“Sure thing” the bartender replies and asks “but what’s with the big pause?” 

The panda holds up his hands and says “I was born with them”"
1,Why do choirs keep buckets handy? So they can carry their tune
1,"Do you want a brief explanation of what an acorn is? In a nutshell, it's an oak tree."
1,"What's the difference between a seal and a sea lion?
An ion!"
1,What's the worst thing about ancient history class? The teachers tend to Babylon.
1,Where do bees go to the bathroom?  The BP station.
1,Astronomers got tired watching the moon go around the earth for 24 hours. They decided to call it a day.
1,"I fear for the calendar, it’s days are numbered."
1,Did you know that protons have mass? I didn't even know they were catholic.
1,Why didn't the number 4 get into the nightclub? Because he is 2 square.
1,A cannibal is someone who is fed up with people.
1,"I fear for the calendar, it’s days are numbered."
1,Don't trust atoms. They make up everything.
1,What is the leading cause of dry skin? Towels
1,Why does a Moon-rock taste better than an Earth-rock? Because it's a little meteor.
1,"A Sandwich walks into a bar, the bartender says “Sorry, we don’t serve food here”"
1,My sea sickness comes in waves.
1,Why is Peter Pan always flying? Because he Neverlands.
1,Did you hear that the police have a warrant out on a midget psychic ripping people off? It reads “Small medium at large.”
1,"I'm glad I know sign language, it's pretty handy."
1,Did you hear about the bread factory burning down? They say the business is toast.
1,What's brown and sticky? A stick.
1,What's the worst thing about ancient history class? The teachers tend to Babylon.
1,Do you know where you can get chicken broth in bulk? The stock market.
1,What did the ocean say to the beach? Thanks for all the sediment.
1,What is the tallest building in the world? The library – it’s got the most stories!
1,"I applied to be a doorman but didn't get the job due to lack of experience. That surprised me, I thought it was an entry level position."
1,"Why couldn't the lifeguard save the hippie? He was too far out, man."
1,I’m on a whiskey diet. I’ve lost three days already.
1,Toasters were the first form of pop-up notifications.
1,They tried to make a diamond shaped like a duck. It quacked under the pressure.
1,Where does batman go to the bathroom? The batroom.
1,"I really want to buy one of those supermarket checkout dividers, but the cashier keeps putting it back."
1,What is the hardest part about sky diving? The ground.
1,“My Dog has no nose.” “How does he smell?” “Awful”
1,"A ghost walks into a bar and asks for a glass of vodka but the bar tender says, “sorry we don’t serve spirits”"
1,"The other day, my wife asked me to pass her lipstick but I accidentally passed her a glue stick. She still isn't talking to me."
1,My wife told me to rub the herbs on the meat for better flavor. That's sage advice.
1,Why are fish easy to weigh? Because they have their own scales.
1,"What's the worst part about being a cross-eyed teacher?

They can't control their pupils."
1,Don't buy flowers at a monastery. Because only you can prevent florist friars.
1,Did you hear that David lost his ID in prague? Now we just have to call him Dav.
1,"I really want to buy one of those supermarket checkout dividers, but the cashier keeps putting it back."
1,"What did the ocean say to the shore? Nothing, it just waved."
1,"If you walk into a forest and cut down a tree, but the tree doesn't understand why you cut it down, do you think it's stumped?"
1,What kind of dog lives in a particle accelerator? A Fermilabrador Retriever.
1,A steak pun is a rare medium well done.
1,My New Years resolution is to stop leaving things so late.
1,Why did the barber win the race? He took a short cut.
1,Why didn't the number 4 get into the nightclub? Because he is 2 square.
1,My boss told me to attach two pieces of wood together... I totally nailed it!
1,"I went to the zoo the other day, there was only one dog in it. It was a shitzu."
1,"My cat was just sick on the carpet, I don’t think it’s feline well."
1,What do you get hanging from Apple trees? Sore arms.
1,The word queue is ironic. It's just q with a bunch of silent letters waiting in line.
1,Did you hear about the cheese factory that exploded in France? There was nothing left but de Brie.
1,What do you call a troublesome Canadian high schooler? A poutine.
1,Just read a few facts about frogs. They were ribbiting.
1,Why can’t you hear a pterodactyl go to the bathroom? The p is silent.
1,"I fear for the calendar, it’s days are numbered."
1,Why do scuba divers fall backwards into the water? Because if they fell forwards they’d still be in the boat.
1,Why couldn't the kid see the pirate movie? Because it was rated arrr!
1,I dreamed about drowning in an ocean made out of orange soda last night. It took me a while to work out it was just a Fanta sea.
1,What's the best thing about elevator jokes? They work on so many levels.
1,"How do you tell the difference between a frog and a horny toad? A frog says, ‘Ribbit, ribbit’ and a horny toad says, ‘Rub it, rub it.’"
1,"Two guys walked into a bar, the third one ducked."
1,"Today a girl said she recognized me from vegetarian club, but I’m sure I’ve never met herbivore."
1,"If you want a job in the moisturizer industry, the best advice I can give is to apply daily."
1,What do you call corn that joins the army? Kernel.
1,Where do bees go to the bathroom?  The BP station.
1,Just watched a documentary about beavers… It was the best damn program I’ve ever seen.
1,"I'm glad I know sign language, it's pretty handy."
1,A termite walks into a bar and asks “Is the bar tender here?”
1,"If you want a job in the moisturizer industry, the best advice I can give is to apply daily."
1,"You can't run through a camp site. You can only ran, because it's past tents."
1,Whoever invented the knock-knock joke should get a no bell prize.
1,What did the Zen Buddist say to the hotdog vendor? Make me one with everything.
1,A magician was driving down the street and then he turned into a driveway.
1,"I used to be addicted to soap, but I'm clean now."
1,"Want to hear my pizza joke? Never mind, it's too cheesy."
1,"I was so proud when I finished the puzzle in six months, when on the side it said three to four years."
1,What do I look like? A JOKE MACHINE!?
1,I'm practicing for a bug-eating contest and I've got butterflies in my stomach.
1,There's not really any training for garbagemen. They just pick things up as they go.
1,Dad I’m hungry’ … ‘Hi hungry I’m dad
1,How do you organize a space party? You planet.
1,Why did the Clydesdale give the pony a glass of water?  Because he was a little horse!
1,Whiteboards ... are remarkable.
1,Writing with a broken pencil is pointless.
1,When does a joke become a dad joke? When it becomes apparent.
1,Without geometry life is pointless.
1,Which side of the chicken has more feathers? The outside.
1,"Mountains aren't just funny, they are hill areas"
1,A man was caught stealing in a supermarket today while balanced on the shoulders of a couple of vampires. He was charged with shoplifting on two counts.
1,"Can I watch the TV? Dad: Yes, but don’t turn it on."
1,Don't trust atoms. They make up everything.
1,"I was going to get a brain transplant, but I changed my mind"
1,What do you call a fly without wings? A walk.
1,They laughed when I said I wanted to be a comedian – they’re not laughing now.
1,A man tried to sell me a coffin today. I told him that's the last thing I need.
1,"Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base? Because there’s a Shortstop in between!"
1,Why are skeletons so calm? Because nothing gets under their skin.
1,"To be Frank, I'd have to change my name."
1,"What's the difference between a hippo and a zippo? One is really heavy, the other is a little lighter."
1,You know what they say about cliffhangers...
1,What did the shy pebble wish for? That she was a little boulder.
1,"I’ll tell you something about German sausages, they’re the wurst"
1,"Man, I really love my furniture... me and my recliner go way back."
1,Why couldn't the kid see the pirate movie? Because it was rated arrr!
1,Just watched a documentary about beavers… It was the best damn program I’ve ever seen.
1,I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
1,I'll tell you what often gets over looked... garden fences.
1,Why is the ocean always blue? Because the shore never waves back.
1,"What did the scarf say to the hat? You go on ahead, I am going to hang around a bit longer."
1,Did you hear about the chameleon who couldn't change color? They had a reptile dysfunction.
1,What kind of pants do ghosts wear? Boo jeans.
1,“My Dog has no nose.” “How does he smell?” “Awful”
1,A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
1,"Mountains aren't just funny, they are hill areas"
1,"What did celery say when he broke up with his girlfriend? She wasn't right for me, so I really don't carrot all."
1,"Can you make me a sandwich? Poof, you're a sandwich."
1,How do you organize a space party? You planet.
1,How does a dyslexic poet write? Inverse.
1,Why do valley girls hang out in odd numbered groups? Because they can't even.
1,"What’s the advantage of living in Switzerland? Well, the flag is a big plus."
1,How does a dyslexic poet write? Inverse.
1,I used to work for a soft drink can crusher. It was soda pressing.
1,"I tried taking some high resolution photos of local farmland, but they all turned out a bit grainy."
1,"What did the judge say to the dentist? Do you swear to pull the tooth, the whole tooth and nothing but the tooth?"
1,Why did the scarecrow win an award? Because he was outstanding in his field.
1,Why do crabs never give to charity? Because they’re shellfish.
1,My wife told me to rub the herbs on the meat for better flavor. That's sage advice.
1,Did you hear that David lost his ID in prague? Now we just have to call him Dav.
1,Why couldn't the kid see the pirate movie? Because it was rated arrr!
1,My sea sickness comes in waves.
1,What do you call a sheep with no legs? A cloud.
1,"Two fish are in a tank, one turns to the other and says, ""how do you drive this thing?"""
1,Why is no one friends with Dracula? Because he's a pain in the neck.
1,Why did the scarecrow win an award? Because he was outstanding in his field.
1,This is my step ladder. I never knew my real ladder.
1,"“Doctor, I’ve broken my arm in several places” Doctor “Well don’t go to those places.”"
1,"I really want to buy one of those supermarket checkout dividers, but the cashier keeps putting it back."
1,"Im planning on stealing an indoor head garment, but dont tell anyone because it's an inside hijab."
1,Why don’t seagulls fly over the bay? Because then they’d be bay-gulls!
1,"Do you want a brief explanation of what an acorn is? In a nutshell, it's an oak tree."
1,Bad at golf? Join the club.
1,"I’ll tell you something about German sausages, they’re the wurst"
1,A termite walks into a bar and asks “Is the bar tender here?”
1,You know what they say about cliffhangers...
1,"Two parrots are sitting on a perch. One turns to the other and asks, ""do you smell fish?"""
1,Why are fish easy to weigh? Because they have their own scales.
1,"""I'll call you later."" Don't call me later, call me Dad."
1,"I used to hate facial hair, but then it grew on me."
1,How do you organize a space party? You planet.
1,“My Dog has no nose.” “How does he smell?” “Awful”
1,What do you call a dad that has fallen through the ice? A Popsicle.
1,A book just fell on my head. I only have my shelf to blame.
1,Why do you never see elephants hiding in trees? Because they're so good at it.
1,How do you make holy water? You boil the hell out of it.
1,You know that cemetery up the road? People are dying to get in there.
1,I'm practicing for a bug-eating contest and I've got butterflies in my stomach.
1,Comedians who tell one too many lightbulb jokes soon burn out.
1,"Can I watch the TV? Dad: Yes, but don’t turn it on."
